record_id,key,entry_type,year,title,author,booktitle,journal,publisher,doi,url,eprint,archiveprefix,note,cited_in_main,citation_count,first_cited_line
INC-001,AppLogic2025GIPR,techreport,2025,{The 2025 Global Internet Phenomena Report},{AppLogic Networks},,,,,https://www.applogicnetworks.com/blog/the-2025-global-internet-phenomena-report,,,Formerly Sandvine,yes,1,111
INC-002,AppLogic2026GIPR,techreport,2026,{The 2026 Global Internet Phenomena Report},{AppLogic Networks},,,,,https://www.applogicnetworks.com/phenomena,,,Current Global Internet Phenomena landing page; accessed 25 June 2026,yes,1,111
INC-003,Zhang2024PCDNPlus,inproceedings,2024,Enhancing Resource Management of the World's Largest {PCDN} System for On-Demand Video Streaming,Rui-Xiao Zhang and Haiping Wang and Shu Shi and Xiaofei Pang and Yajie Peng and Zhichen Xue and Jiangchuan Liu,Proceedings of the 2024 USENIX Annual Technical Conference,,USENIX Association,,https://www.usenix.org/conference/atc24/presentation/zhang-rui-xiao,,,,yes,7,438
INC-004,Wei2024Swarm,misc,2024,Swarm: Cost-Efficient Video Content Distribution with a Peer-to-Peer System,Dehui Wei and Jiao Zhang and Haozhe Li and Zhichen Xue and Yajie Peng and Xiaofei Pang and Rui Han and Yan Ma and Jialin Li,,,,,https://arxiv.org/abs/2401.15839,2401.15839,arXiv,,yes,3,639
INC-005,tang2024stealthy,inproceedings,2024,Stealthy Peers: Understanding Security and Privacy Risks of Peer-Assisted Video Streaming,Siyuan Tang and Eihal Alowaisheq and Xianghang Mi and Yi Chen and XiaoFeng Wang and Yanzhi Dou,Proc. 54th Annual IEEE/IFIP Int. Conf. Dependable Systems and Networks (DSN),,IEEE,10.1109/DSN58291.2024.00041,,,,,yes,2,1164
INC-006,balduf2023cloud,inproceedings,2023,The Cloud Strikes Back: Investigating the Decentralization of {IPFS},"Leonhard Balduf and Maciej Korczy{\'n}ski and Onur Ascigil and Navin V. Keizer and George Pavlou and Bj{\""o}rn Scheuermann and Micha{\l} Kr{\'o}l",Proc. 2023 ACM Internet Measurement Conference (IMC),,ACM,10.1145/3618257.3624797,,,,,yes,2,1172
INC-007,ThetaNetwork2024,misc,2024,What Is Theta Network: Theta Edge Network and {EdgeCloud},{Theta Labs},,,,,https://docs.thetatoken.org/docs/what-is-theta-network,,,Project-reported; accessed 2026,yes,1,1166
INC-008,Livepeer2024Brief,misc,2024,Livepeer {Q2} 2024 Brief,{Messari},,,,,https://messari.io/report/livepeer-q2-2024-brief,,,Analyst-reported network metrics,yes,1,1168
INC-009,FilecoinSaturn2023,misc,2023,Filecoin's Retrieval Markets Update: Spotlight on Project Saturn,{Filecoin TL;DR},,,,,https://filecointldr.io/article/filecoin-s-retrieval-markets-update-spotlight-on-project-saturn,,,Project-reported; public CDN effort wound down in 2024,yes,1,1170
INC-010,Peer5Microsoft2021,misc,2021,Microsoft Acquires {Peer5} to Beef Up {Teams} Livestreaming,{VentureBeat},,,,,https://venturebeat.com/2021/08/10/microsoft-acquires-peer5-to-beef-up-teams-livestreaming/,,,,yes,1,1164
